Occupation,Ever been married or in union,Has an account in a bank or other financial institution,Year of first cohabitation,Religion,Current age,Age of wife/partner,Drinks wine,Region,"Have a job, but currently absent",Sex of household head,Beating justified: wife burns food,Beating justified: wife goes out without telling husband,Age in 5-year groups,Occupation (grouped),On average respondent uses daily: snuff by nose,Employment all year/seasonal,Daughters at home,Drinks other alcohol,Cohabitation duration (grouped),Years lived in place of residence,Drinks rum,Beating justified: wife argues with husband,Drinks beer,Educational level,On average respondent smokes daily: manufactured cigarettes,In the past smoked tobacco every day,Drinks Tafia/Clairin,Drinks alcohol,Country code and phase,Currently residing with wife/partner,Beating justified: wife refuses to have sex with husband,Since how many years smokes respondent,Wife justified refusing sex: husband has other women,Age of household head,Currently working,Beating justified: wife neglects the children,Drinks,index,Beating,target
Chaffeur,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,23,,No,Grand'Anse,,Male,No,No,20-24,Sales,Product not used,All year,0,No,Never married,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,No,50,Yes,No,DrinksTafia/Clairin,5207,No Beating,0
Commercant et assimilï¿½,,Yes,1991.0,Catholic,51,44.0,No,Nord,,Female,No,No,50-54,Sales,Product not used,All year,0,No,25-29,15,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,44,Yes,No,No Drinks,5208,No Beating,0
Commercant et assimilï¿½,,No,2014.0,Catholic,25,24.0,Yes,Nord,No,Female,No,No,25-29,Sales,Product not used,Occasional,0,No,0-4,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,44,No,No,Drinks wine,5209,No Beating,0
Agriculteur,No,No,,Catholic,59,,No,Nord,,Female,No,No,55-59,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,40,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,82,Yes,No,DrinksTafia/Clairin,5210,No Beating,0
Chaffeur,,No,2014.0,No religion,25,22.0,No,Nord,,Male,No,No,25-29,Sales,Product not used,All year,1,No,0-4,Always,Yes,No,Yes,Primary,Product not used,,No,Every now and then,HT7,Living with him,No,,Yes,25,Yes,No,Drinks rum,5211,No Beating,0
Agriculteur,Formerly married,No,2014.0,Catholic,31,,No,Nord,,Female,No,Yes,30-34,Agriculture - self employed,Product not used,Seasonal,0,No,0-4,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,,No,,Yes,60,Yes,Yes,Drinks beer,5212,wife goes out without telling husband,1
Chaffeur,No,No,,Catholic,24,,No,Nord,,Female,Yes,No,20-24,Sales,Product not used,Occasional,0,No,Never married,Always,No,Yes,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,Yes,,Yes,60,Yes,No,DrinksTafia/Clairin,5213,wife burns food,1
Agriculteur,,No,2011.0,No religion,23,26.0,No,Nord,,Female,No,No,20-24,Agriculture - self employed,Product not used,All year,1,Yes,5-9,Always,Yes,No,Yes,Primary,25,,Yes,Every day,HT7,Living with him,No,,No,60,Yes,No,Drinks other alcohol,5214,No Beating,0
Employï¿½ du commerce,No,Yes,,Catholic,25,,No,Nord,,Male,No,No,25-29,Sales,Product not used,All year,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,No,67,Yes,No,DrinksTafia/Clairin,5215,No Beating,0
Ouvrier qualifiï¿½ de type industriel,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,No,Nord,,Female,No,No,15-19,Skilled manual,Product not used,Seasonal,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,33,Yes,No,DrinksTafia/Clairin,5216,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,19,,No,Nord,,Female,No,No,15-19,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,43,Yes,Yes,DrinksTafia/Clairin,5217,wife neglects the children,1
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,18,,No,Nord,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,No,43,No,No,No Drinks,5218,No Beating,0
Agriculteur,,No,2011.0,Catholic,28,30.0,No,Nord,Yes,Female,No,No,25-29,Agriculture - self employed,Product not used,Seasonal,0,No,5-9,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,70,Yes,No,No Drinks,5219,No Beating,0
Commercant et assimilï¿½,No,No,,No religion,40,,No,Nord,,Female,No,No,40-44,Sales,Product not used,All year,0,No,Never married,38,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,70,Yes,No,No Drinks,5220,No Beating,0
Commercant et assimilï¿½,,No,2007.0,Protestant/Methodist/Adventist/Jehova Witness,32,22.0,No,Nord,,Male,No,No,30-34,Sales,Product not used,Occasional,0,Yes,5-9,Always,Yes,No,No,Higher,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,32,Yes,No,Drinks other alcohol,5221,No Beating,0
Commercant et assimilï¿½,,No,1992.0,Protestant/Methodist/Adventist/Jehova Witness,52,47.0,No,Nord,,Male,No,No,50-54,Sales,Product not used,All year,2,No,20-24,Always,No,No,No,No education,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,52,Yes,No,No Drinks,5222,No Beating,0
Insituteur et assimilï¿½s,,Yes,2008.0,Protestant/Methodist/Adventist/Jehova Witness,40,30.0,No,Nord,,Male,No,No,40-44,Professional/technical/managerial,Product not used,All year,1,No,5-9,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,Living with him,No,,No,40,Yes,No,No Drinks,5223,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,18,,Yes,Nord,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,63,No,No,Drinks wine,5224,No Beating,0
Not working and didn't work in last 12 months,,No,2005.0,Catholic,33,30.0,No,Nord,No,Male,No,No,30-34,Not working,Product not used,,0,No,10-14,Always,No,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,33,No,No,DrinksTafia/Clairin,5225,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,1991.0,Catholic,45,35.0,No,Nord,,Male,No,No,45-49,Skilled manual,Product not used,All year,1,No,25-29,Always,No,No,No,No education,Product not used,,No,"No, never",HT7,Living with him,No,,No,45,Yes,No,No Drinks,5226,No Beating,0
Agriculteur,,No,1990.0,Catholic,62,44.0,No,Nord,,Female,No,No,60-64,Agriculture - self employed,Product not used,All year,2,No,25-29,25,Yes,No,No,No education,2,,No,Every now and then,HT7,Living with him,No,,Yes,44,Yes,No,Drinks rum,5227,No Beating,0
Commercant et assimilï¿½,No,No,,Catholic,21,,No,Nord,,Female,No,No,20-24,Sales,Product not used,All year,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,44,Yes,No,No Drinks,5228,No Beating,0
Commercant et assimilï¿½,No,No,,Catholic,19,,No,Nord,,Female,No,No,15-19,Sales,Product not used,Seasonal,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,44,Yes,No,No Drinks,5229,No Beating,0
Agriculteur,,No,1990.0,Catholic,63,47.0,No,Nord,,Male,Yes,Yes,60-64,Agriculture - self employed,Product not used,Seasonal,2,No,25-29,Always,No,Yes,No,Primary,Product not used,Yes,Yes,Every now and then,HT7,Living with him,Yes,,No,63,Yes,Yes,DrinksTafia/Clairin,5230,wife goes out without telling husband,1
Chaffeur,,Yes,2014.0,Catholic,24,19.0,No,Nord,,Male,No,No,20-24,Sales,Product not used,All year,0,No,0-4,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,63,Yes,No,Drinks beer,5231,No Beating,0
Chaffeur,No,No,,No religion,21,,No,Nord,,Male,No,No,20-24,Sales,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,63,Yes,No,DrinksTafia/Clairin,5232,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,16,,No,Nord,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,No,63,No,No,No Drinks,5233,No Beating,0
Agriculteur,No,No,,Catholic,24,,No,Nord,,Female,No,No,20-24,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,16,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,52,Yes,No,Drinks rum,5234,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,19,,No,Nord,No,Female,No,Yes,15-19,Not working,Product not used,,0,No,Never married,Always,No,Yes,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,No,52,No,No,DrinksTafia/Clairin,5235,wife goes out without telling husband,1
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,28,,Yes,Centre,No,Female,No,No,25-29,Not working,Product not used,,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,91,No,No,Drinks wine,5236,No Beating,0
Agriculteur,,No,2013.0,Other,27,20.0,No,Centre,,Female,No,No,25-29,Agriculture - self employed,Product not used,Seasonal,0,No,0-4,3,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,49,Yes,No,Drinks beer,5237,No Beating,0
Chaffeur,,No,2009.0,Catholic,28,30.0,No,Centre,,Male,No,No,25-29,Sales,Product not used,All year,1,No,5-9,Always,Yes,No,Yes,Primary,Product not used,,Yes,Every day,HT7,Living with him,No,,Yes,28,Yes,No,Drinks rum,5238,No Beating,0
Cadres adminsitratifs ou commercial d'entrperise,No,No,,Catholic,20,,No,Centre,,Male,No,No,20-24,Professional/technical/managerial,Product not used,All year,0,No,Never married,10,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,28,Yes,No,Drinks beer,5239,No Beating,0
Agriculteur,,No,1980.0,Protestant/Methodist/Adventist/Jehova Witness,57,47.0,Yes,Centre,,Male,No,No,55-59,Agriculture - self employed,Product not used,All year,0,No,30+,32,No,No,No,No education,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,57,Yes,No,Drinks wine,5240,No Beating,0
Agriculteur,,No,2015.0,Catholic,26,20.0,Yes,Centre,,Male,No,No,25-29,Agriculture - self employed,Product not used,Seasonal,1,No,0-4,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,25,Yes,No,Drinks wine,5241,No Beating,0
Agriculteur,,No,2006.0,No religion,53,42.0,No,Centre,,Male,No,No,50-54,Agriculture - self employed,Product not used,Seasonal,1,No,10-14,Always,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,53,Yes,No,DrinksTafia/Clairin,5242,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,No,Centre,No,Male,No,No,15-19,Agriculture - self employed,Product not used,All year,0,No,Never married,7,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,53,No,No,No Drinks,5243,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,16,,No,Centre,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,1,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,53,No,No,No Drinks,5244,No Beating,0
Agriculteur,,No,1998.0,Catholic,45,44.0,No,Centre,,Male,No,No,45-49,Agriculture - self employed,Product not used,All year,5,No,15-19,17,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,45,Yes,No,Drinks beer,5245,No Beating,0
Agriculteur,,No,1984.0,Catholic,55,52.0,No,Centre,,Male,No,No,55-59,Agriculture - self employed,Product not used,All year,1,No,30+,13,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,55,Yes,No,DrinksTafia/Clairin,5246,No Beating,0
Agriculteur,,No,1979.0,Protestant/Methodist/Adventist/Jehova Witness,63,53.0,No,Centre,,Male,No,No,60-64,Agriculture - self employed,Product not used,Seasonal,1,No,30+,Always,No,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,63,Yes,No,DrinksTafia/Clairin,5247,No Beating,0
Agriculteur,,No,1982.0,Catholic,57,40.0,No,Centre,,Male,No,No,55-59,Agriculture - self employed,Product not used,All year,3,No,30+,Always,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,57,Yes,No,DrinksTafia/Clairin,5248,No Beating,0
Agriculteur,No,No,,Catholic,18,,No,Centre,No,Male,No,No,15-19,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,57,No,No,DrinksTafia/Clairin,5249,No Beating,0
"Clerge, regligieux",,No,2003.0,Vaudousant,34,30.0,No,Centre,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,10-14,Always,Yes,No,No,No education,10,,Yes,Every day,HT7,Living with him,No,,Yes,34,Yes,No,Drinks rum,5250,No Beating,0
Agriculteur,,No,2005.0,Protestant/Methodist/Adventist/Jehova Witness,36,37.0,No,Centre,,Male,No,No,35-39,Agriculture - self employed,Product not used,All year,1,No,10-14,Always,No,No,Yes,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,36,Yes,No,DrinksTafia/Clairin,5251,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,19,,No,Centre,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,53,No,No,DrinksTafia/Clairin,5252,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,16,,No,Centre,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,No,53,No,No,Drinks rum,5253,No Beating,0
Agriculteur,,No,2013.0,Protestant/Methodist/Adventist/Jehova Witness,31,19.0,Yes,Centre,,Male,No,No,30-34,Agriculture - self employed,Product not used,All year,1,No,0-4,Always,No,No,No,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,30,Yes,No,Drinks wine,5254,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,18,,No,Centre,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,52,No,No,Drinks rum,5255,No Beating,0
Commercant et assimilï¿½,No,No,,Catholic,19,,No,Centre,No,Female,No,No,15-19,Sales,Product not used,Occasional,0,No,Never married,Always,Yes,No,No,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,52,No,No,Drinks rum,5256,No Beating,0
Agriculteur,,No,2015.0,Catholic,28,22.0,Yes,Centre,,Female,No,No,25-29,Agriculture - self employed,Product not used,All year,0,No,0-4,Always,No,No,No,No education,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,22,Yes,No,Drinks wine,5257,No Beating,0
Artisan,,No,1992.0,Catholic,45,24.0,No,Centre,,Male,No,No,45-49,Unskilled manual,Product not used,All year,2,No,20-24,5,No,No,No,No education,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,45,Yes,No,No Drinks,5258,No Beating,0
Insituteur et assimilï¿½s,No,No,,Protestant/Methodist/Adventist/Jehova Witness,24,,No,Aire Metropolitaine,,Female,No,No,20-24,Professional/technical/managerial,Product not used,All year,0,No,Never married,7,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,47,Yes,No,Drinks rum,5259,No Beating,0
Artisan,No,No,,Protestant/Methodist/Adventist/Jehova Witness,16,,No,Aire Metropolitaine,,Female,No,No,15-19,Unskilled manual,Product not used,Occasional,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,47,Yes,No,Drinks rum,5260,No Beating,0
Insituteur et assimilï¿½s,No,Yes,,Catholic,41,,No,Aire Metropolitaine,,Female,No,No,40-44,Professional/technical/managerial,Product not used,All year,0,No,Never married,17,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,47,Yes,No,Drinks beer,5261,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,19,,No,Aire Metropolitaine,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,56,No,No,No Drinks,5262,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,23,,No,Aire Metropolitaine,No,Female,No,No,20-24,Not working,Product not used,,1,No,Never married,13,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,43,No,No,Drinks beer,5263,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,30,,No,Aire Metropolitaine,No,Female,No,No,30-34,Not working,Product not used,,0,No,Never married,19,Yes,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,No,60,No,No,Drinks rum,5264,No Beating,0
Technicien (sauf technicien du tertiaire),Formerly married,Yes,2010.0,Catholic,39,,No,Aire Metropolitaine,,Male,No,No,35-39,Professional/technical/managerial,Product not used,All year,0,No,5-9,12,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,39,Yes,No,Drinks rum,5265,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,26,,No,Aire Metropolitaine,No,Female,No,No,25-29,Not working,Product not used,,0,No,Never married,1,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,32,No,No,Drinks beer,5266,No Beating,0
Ouvrier non qualifiï¿½ de type artisanal,No,No,,Protestant/Methodist/Adventist/Jehova Witness,24,,No,Aire Metropolitaine,,Female,No,No,20-24,Unskilled manual,Product not used,All year,0,Yes,Never married,16,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,60,Yes,No,Drinks other alcohol,5267,No Beating,0
Not working and didn't work in last 12 months,No,Yes,,No religion,24,,No,Aire Metropolitaine,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,19,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,57,No,No,Drinks beer,5268,No Beating,0
Other,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,21,,Yes,Aire Metropolitaine,,Female,No,No,20-24,Other,Product not used,Seasonal,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,57,Yes,No,Drinks wine,5269,No Beating,0
Ouvrier qualifiï¿½ de type industriel,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,No,Aire Metropolitaine,,Male,No,No,15-19,Skilled manual,Product not used,Occasional,0,Yes,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,70,Yes,No,Drinks other alcohol,5270,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,18,,No,Aire Metropolitaine,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,52,No,No,Drinks rum,5271,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,Yes,1989.0,Protestant/Methodist/Adventist/Jehova Witness,60,52.0,Yes,Aire Metropolitaine,,Male,No,No,60-64,Skilled manual,Product not used,All year,3,No,25-29,4,No,No,No,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,60,Yes,No,Drinks wine,5272,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Catholic,20,,No,Aire Metropolitaine,No,Female,No,No,20-24,Skilled manual,Product not used,Occasional,0,No,Never married,4,No,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,Yes,58,No,No,Drinks beer,5273,No Beating,0
Agriculteur,,No,2001.0,Catholic,49,35.0,No,Grand'Anse,,Female,No,No,45-49,Agriculture - self employed,Product not used,All year,3,No,15-19,Always,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,35,Yes,No,DrinksTafia/Clairin,5274,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,15,,No,Grand'Anse,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,3,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,35,No,No,DrinksTafia/Clairin,5275,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,22,,No,Grand'Anse,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,3,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,35,No,No,DrinksTafia/Clairin,5276,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,Yes,2010.0,Protestant/Methodist/Adventist/Jehova Witness,32,34.0,No,Grand'Anse,,Female,No,No,30-34,Skilled manual,Product not used,All year,1,No,5-9,Always,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,Staying elsewhere,No,,Yes,64,Yes,No,DrinksTafia/Clairin,5277,No Beating,0
Agriculteur,,No,2005.0,Protestant/Methodist/Adventist/Jehova Witness,36,36.0,No,Grand'Anse,,Female,No,No,35-39,Agriculture - self employed,Product not used,All year,2,No,10-14,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,No,64,Yes,No,DrinksTafia/Clairin,5278,No Beating,0
